;NUTS_ID;Ln_BA;Fr_An_Observed;Fr_Li_Observed;Fr_An_Predicted;Fr_Li_Predicted;std;BA_Human_km2;BA_Lightning_km2
1196;ITF12;7.1495823380469465;0.9992154240850566;0.0007845759149434084;;;;0.00013735862021420125;1.0785288390499767e-07
1197;ITF13;5.299285992936936;0.9950296683848674;0.004970331615132606;;;;0.02817734314301428;0.0001407503151956216
1198;ITF14;5.788657728839937;0.9969472581951414;0.003052741804858594;;;;0.05111846514644465;0.0001565293191490083
1199;ITF21;4.947547518711081;0.992949263707113;0.007050736292886994;;;;0.002729944664943566;1.9384797018559986e-05
1200;ITF22;6.578781350161757;0.9986123865185702;0.0013876134814297947;;;;0.16788820894378512;0.00023328765519889383
1201;ITF31;4.327026064522825;0.9869653799533085;0.013034620046691536;;;;0.05345581204173283;0.0007059783589210694
1202;PL842;6.750318213163709;0.9988308613942702;0.0011691386057297581;;;;0.0;0.0
1203;PL432;5.988942170637232;0.9974999520041979;0.002500047995802057;;;;0.013986525632389836;3.505462361700837e-05
1204;PL514;11.512915433631191;1.0;0.0;;;;0.0012371858857762696;1.2372106687015202e-08
1205;PT185;-0.8456539057372237;0.3003453439446757;0.6996546560553243;;;;0.06407806830273102;0.14926989794553
1206;PT186;1.4070060519287375;0.8032932899214614;0.19670671007853857;;;;0.6343967692389036;0.15534811870971732
1207;PL219;7.488386776992067;0.9994407680119303;0.0005592319880697305;;;;0.0;0.0
1208;PL21A;6.167631965868191;0.9979081908509941;0.0020918091490058632;;;;0.024966563343903656;5.2334759951689486e-05
1209;SE213;0.6377053163369288;0.6542345601895985;0.34576543981040153;;;;0.0;0.0
1210;PT11B;4.435776567083494;0.9882928184440962;0.011707181555903778;;;;0.8167730543758586;0.009675381889956647
1211;PT11C;3.644968292283645;0.9745427619176912;0.02545723808230882;;;;0.607138246242158;0.015859809838459915
1212;PT11D;3.3291884507560647;0.9654166844995106;0.03458331550048943;;;;0.9235457773232879;0.033083408966433914
1213;PL417;4.865617791463625;0.9923518792056458;0.007648120794354174;;;;0.00600226496789384;4.625984842283881e-05
1214;PL812;6.7762028792397775;0.9988607018076865;0.0011392981923135093;;;;0.09323339344199151;0.00010634179162267998
1215;PL515;6.897510118956723;0.9989907218501509;0.00100927814984908;;;;0.03488124372237979;3.524044453922376e-05
1216;PL516;7.508753505863371;0.9994520363578684;0.0005479636421316103;;;;0.06567296801210383;3.600612879098297e-05
1217;PL843;5.4793142616427355;0.9958451450953236;0.004154854904676375;;;;0.02477805289251082;0.00010337873824642005
