;NUTS_ID;Ln_N;Fr_An_Observed;Fr_Li_Observed;Fr_An_Predicted;Fr_Li_Predicted;std
1169;ITI17;3.6686767467964168;0.9751243781094527;0.02487562189054726;;;
1170;ITG2C;3.526360524616161;0.9714285714285714;0.02857142857142858;;;
1171;LT021;4.234106504597263;0.9857142857142858;0.014285714285714235;;;
1172;LV006;11.512915766202163;1.0;0.0;;;
1173;ITC46;4.5976419195672955;0.9900249376558603;0.009975062344139696;;;
1174;ITC47;3.959451698999259;0.9812834224598931;0.018716577540106916;;;
1175;ITF65;6.131537000275878;0.9978314745972738;0.0021685254027261625;;;
1176;ITG11;5.175019150203534;0.9943757030371203;0.0056242969628796935;;;
1177;ITH34;2.1972245773362196;0.9;0.09999999999999998;;;
1178;LT029;11.512915766202163;1.0;0.0;;;
1179;ITC48;11.512915766202163;1.0;0.0;;;
1180;ITI18;3.7642960933986913;0.9773413897280967;0.0226586102719033;;;
1181;ITI19;2.873564639579784;0.946524064171123;0.053475935828877;;;
1182;LT022;4.201703080542601;0.9852507374631269;0.014749262536873142;;;
1183;ITC49;11.512915766202163;1.0;0.0;;;
1184;ITC4A;11.512915766202163;1.0;0.0;;;
1185;ITG12;5.032614200815025;0.9935205183585313;0.006479481641468721;;;
1186;ITG13;5.32440273702371;0.9951523545706371;0.00484764542936289;;;
1187;LV003;4.162781723775328;0.9846743295019157;0.01532567049808431;;;
1188;ITC4B;11.512915766202163;1.0;0.0;;;
1189;ITC4C;11.512915766202163;1.0;0.0;;;
1190;ITC4D;11.512915766202163;1.0;0.0;;;
1191;ITH35;11.512915766202163;1.0;0.0;;;
1192;ITF11;3.0033951462995607;0.9527272727272728;0.047272727272727244;;;
1193;ITF12;5.252273428046623;0.9947916666666666;0.00520833333333337;;;
1194;ITF13;4.143134726391533;0.984375;0.015625;;;
1195;ITF14;4.255612709818225;0.986013986013986;0.013986013986013957;;;
1196;ITF21;4.890349128221751;0.9925373134328358;0.007462686567164201;;;
1197;ITF22;5.56260286119343;0.9961759082217974;0.003824091778202643;;;
1198;ITF31;4.827424453117415;0.9920564872021183;0.007943512797881747;;;
1199;PL842;4.5190674869346825;0.9892183288409704;0.010781671159029615;;;
1200;PL432;4.137310598105545;0.9842851667305481;0.01571483326945189;;;
1201;PL514;11.512915766202163;1.0;0.0;;;
1202;PT185;4.39058366860686;0.9877582249426167;0.01224177505738333;;;
1203;PT186;2.4021475825369003;0.9169909208819714;0.08300907911802857;;;
1204;PL219;4.832305758571844;0.9920948616600791;0.007905138339920903;;;
1205;PL21A;6.16436688198543;0.9979013641133263;0.0020986358866736943;;;
1206;SE213;1.214696767688912;0.7711289327575571;0.22887106724244288;;;
1207;PT11B;4.481987985653935;0.9888156008029825;0.011184399197017525;;;
1208;PT11C;7.049736978095565;0.9991331150067424;0.0008668849932575995;;;
1209;PT11D;4.000297201284021;0.982019038664943;0.017980961335057;;;
1210;PL417;3.6880978987791146;0.9755911517925248;0.024408848207475242;;;
1211;PL812;4.4525567854797234;0.9884853852967228;0.011514614703277193;;;
1212;PL515;5.011884513496693;0.9933856965688301;0.006614303431169866;;;
1213;PL516;5.058203711015366;0.9936831875607386;0.00631681243926141;;;
1214;PL843;4.2217675931435465;0.985539488320356;0.014460511679644017;;;
1215;PL911;11.512915766202163;1.0;0.0;;;
1216;PT11E;3.364639785928358;0.9665809768637532;0.033419023136246784;;;
1217;PL224;6.517425058458258;0.998524711089255;0.0014752889107449985;;;
1218;PL225;5.3375380797013126;0.9952153110047847;0.004784688995215336;;;
1219;PL227;4.675939256876295;0.9907692307692307;0.009230769230769265;;;
1220;PT150;4.984462419792229;0.9932030586236194;0.00679694137638065;;;
1221;PT16H;2.79596207342509;0.942457231726283;0.05754276827371696;;;
1222;PL418;5.263553374111689;0.9948497854077253;0.0051502145922747156;;;
1223;PT16I;3.801284067277562;0.9781461944235117;0.021853805576488305;;;
1224;PL814;5.582556017222072;0.9962511715089035;0.0037488284910964786;;;
1225;PL517;5.419902688154165;0.9955919395465995;0.004408060453400475;;;
1226;PL616;5.808142489980455;0.9970059880239521;0.0029940119760478723;;;
1227;PL912;6.197589093252582;0.9979698007867022;0.002030199213297834;;;
1228;PL913;7.798523053625171;0.9995898277276456;0.00041017227235440323;;;
1229;PL22C;4.9628446302599105;0.9930555555555556;0.00694444444444442;;;
1230;PL411;4.491041180510319;0.9889152810768013;0.011084718923198733;;;
1231;PL415;11.512915766202163;1.0;0.0;;;
1232;PL217;5.143610976787052;0.9941972920696325;0.005802707930367523;;;
1233;PL414;4.960344003800551;0.9930382894082546;0.00696171059174544;;;
1234;RO122;11.512915766202163;1.0;0.0;;;
1235;PL424;11.512915766202163;1.0;0.0;;;
1236;RO123;11.512915766202163;1.0;0.0;;;
1237;RO216;11.512915766202163;1.0;0.0;;;
1238;SE122;2.6289460200109374;0.9327014218009478;0.06729857819905216;;;
1239;RO221;11.512915766202163;1.0;0.0;;;
1240;RO316;4.143134726391533;0.984375;0.015625;;;
1241;PL428;5.000809399944963;0.9933125278644672;0.006687472135532779;;;
1242;PL431;3.500204423347806;0.9706935851514165;0.02930641484858354;;;
1243;RO317;11.512915766202163;1.0;0.0;;;
1244;PL214;3.978345648359216;0.9816272965879265;0.018372703412073532;;;
1245;PL218;4.966335035199677;0.9930795847750865;0.00692041522491349;;;
1246;RO424;11.512915766202163;1.0;0.0;;;
1247;PT112;5.451991742484413;0.99573055028463;0.004269449715370022;;;
1248;PT119;5.587248658400262;0.996268656716418;0.003731343283582045;;;
1249;PT11A;6.323590618125278;0.9982097186700767;0.0017902813299233156;;;
1250;PL416;4.562534954343652;0.9896722047597665;0.010327795240233528;;;
1251;PL811;5.132852926820505;0.9941348973607038;0.0058651026392961825;;;
1252;HU331;2.435458374374019;0.9194915254237288;0.0805084745762712;;;
1253;HU332;2.564949357461537;0.9285714285714286;0.0714285714285714;;;
1254;PT16D;5.536021069193572;0.9960732984293194;0.003926701570680646;;;
1255;PL713;5.700682436403876;0.9966674601285408;0.003332539871459206;;;
1256;ITH36;11.512915766202163;1.0;0.0;;;
1257;ITH37;11.512915766202163;1.0;0.0;;;
1258;ITC13;5.145554611995628;0.9942084942084942;0.00579150579150578;;;
1259;ITC14;1.2768605200744283;0.7819148936170213;0.21808510638297873;;;
